Zoo buss algusaeg,Toomparki jõudmise aeg,kulunud aeg,kuupäev
07:56:33,08:09:57,00:13:24,15.05.25
08:07:35,08:20:27,00:12:52,15.05.25
08:18:36,08:30:55,00:12:19,15.05.25
08:28:34,08:42:16,00:13:42,15.05.25
08:40:10,08:59:24,00:19:14,15.05.25
08:49:24,09:06:59,00:17:35,15.05.25
09:00:27,09:15:54,00:15:27,15.05.25
09:11:59,09:26:38,00:14:39,15.05.25
09:24:17,09:38:32,00:14:15,15.05.25
09:37:59,09:52:16,00:14:17,15.05.25
09:49:55,10:03:37,00:13:42,15.05.25
10:02:33,10:16:03,00:13:30,15.05.25
10:16:34,10:30:17,00:13:43,15.05.25
10:31:54,10:46:00,00:14:06,15.05.25
